year,ak_plaice,dover_sole,fh_sole,greenlings,misc_flats,nr_sole,oth_sculpins,rex_sole,yf_sole
1982,698621.2555,,224288.6848,291.0553171,116447.1853,545672.9597,936077.0666,8348.213701,3348238.679
1983,638727.5772,,293487.742,342.9965532,75745.10769,672678.5536,687800.4381,10139.78086,3416856.255
1984,756968.8636,,315399.1324,72.14808152,65376.96525,755258.9168,662854.9957,18171.59723,3119029.226
1985,571001.7138,23.64875287,294431.4547,97.91346343,42346.98129,654955.6755,207964.8921,14962.01264,2377909.258
1986,540900.8539,34.02404287,399737.8875,87.3560144,46240.11183,967117.698,276774.5604,17932.63092,1895161.72
1987,537766.3736,183.1895932,441661.0222,116.3538219,57937.48377,1199244.713,291229.0533,17984.86992,2493249.267
1988,668015.9379,87.19578865,622007.3453,263.6804135,59889.93439,1403989.586,534178.6638,21455.90949,2175193.242
1989,503710.8076,,588848.8661,660.3923845,62865.75225,1256034.69,513654.9592,17953.16387,2301776.866
1990,485234.119,106.2886308,671130.2041,1624.531012,61344.7679,1311889.097,605307.5199,16500.97928,2162420.973
1991,518340.0541,124.5681406,604032.1278,565.8779277,95496.48615,1508881.349,514514.371,22297.01316,2377657.911
1992,508010.9762,312.4355545,703318.8664,923.253289,62517.88053,1468123.962,928206.4163,19487.80299,2188617.908
1993,505272.5249,84.57076401,686059.5095,894.4851708,59316.72663,1883892.851,382873.0689,20259.03809,2452626.023
1994,612638.7224,166.345466,773843.5025,202.8024624,72448.9994,2590425.668,481558.6858,22179.51036,2582889.279
1995,542618.3629,,675241.4734,236.9303163,48843.46212,2057243.321,248806.2517,14489.96137,1998087.356
1996,518358.7206,,703173.982,73.61465748,70239.65687,1939164.137,227777.9765,14645.69892,2197489.494
1997,623010.1377,,893590.7373,100.6692435,86924.70247,2462176.892,380581.1008,11458.91622,2146286.63
1998,443826.3997,92.47096729,787350.9943,170.8024269,84459.9958,2040388.833,290065.0511,10562.01643,2193903.169
1999,469338.9427,35.9747753,450423.8629,222.6891349,85169.96911,1526367.019,325770.888,11079.72741,1245667.415
2000,434587.8369,25.47976639,450436.2437,132.9958058,79048.00804,1946057.712,263297.6656,12969.1607,1568385.216
2001,531447.1433,37.40086921,588048.205,87.66222759,78091.19376,2207161.074,178415.134,30151.53521,1664723.059
2002,413984.4352,15.91878738,637135.8715,376.4396738,87630.97943,1777261.661,276413.9543,36187.34271,1892110.484
2003,448837.9137,784.7292801,598636.0048,350.3227405,75803.35984,1990443.1,199892.738,38307.20134,2132211.382
2004,466144.2353,71.2466757,705831.2609,1143.508903,121791.8457,2063740.424,208161.8387,40135.36806,2510381.447
2005,485958.1483,359.2383559,707305.0768,534.661405,104443.0384,1999527.198,429901.7217,32341.62059,2796773.733
2006,623130.1039,203.3941471,726901.1741,310.7633927,162526.4665,2101985.105,390456.0639,30012.27381,2114503.598
2007,413636.0046,166.4254603,644546.298,187.2794757,144514.1582,1931551.933,387490.17,23680.82986,2135503.988
2008,498716.8048,828.4451611,625840.0706,116.7990779,108789.3536,1937658.777,313335.6454,26152.47296,2083501.327
2009,519366.8862,1066.394007,483517.0232,86.26909732,104370.879,1472475.401,308322.805,25252.49374,1725730.637
2010,488100.6461,457.4421236,567959.6039,22.94861863,114233.3661,1967088.349,355872.7979,28284.72103,2350384.627
2011,509108.1693,928.0642183,688831.3098,21.51171996,92980.03071,1877500.113,315131.2674,25787.14655,2383812.412
2012,570651.7755,154.9658519,439631.713,50.05742493,89797.58071,1828765.31,375064.2422,17831.21093,1934841.5
2013,495303.0431,60.82936473,563509.1224,7.537422922,81351.63224,1660245.935,183824.0582,13595.3503,2259823.654
2014,441358.9299,1409.795559,576090.615,96.22162526,142663.6911,1763356.888,198036.6248,18478.12657,2493987.417
2015,347743.9742,12.43387117,443201.6246,83.64559298,79000.13103,1339776.787,228325.0556,13216.78557,1916861.824
2016,414877.0211,27.34657431,503438.107,132.6963145,110598.7304,1383106.334,137758.1176,15466.13129,2837731.838
2017,480351.2908,,612522.7485,732.2436927,235970.61,1266990.706,148016.7735,16769.97274,2763663.46
2018,406905.1896,33.90599569,562092.9603,462.5148737,112955.5453,995478.5586,82328.94068,28280.21642,1874909.723
2019,350560.668,325.0645426,692977.8736,291.0529912,101434.0062,922712.9742,98018.18159,41473.63103,1984214.277
2020,,,,,,,,,
2021,319889.4896,1078.829824,763526.3504,468.6258834,123022.5266,976778.4841,179267.4209,58638.88623,1609131.667
2022,367775.7107,2005.005422,811440.6305,215.9873745,153428.917,1226307.073,115327.4096,58206.52274,2006297.504
2023,347810.0525,764.2261576,691704.5325,85.85594427,120723.7043,1307727.675,165879.4993,55001.51311,1371631.71
