year,ak_plaice,ak_skate,anemones,arrowtooth,atka,bairdi,brittle_stars,capelin,corals,dover_sole,eelpouts,eulachon,fh_sole,gr_turbot,greenlings,halibut,hermits,herring,hybrid_chion,kamchatka,king_crabs,lg_sculpins,misc_crabs,misc_fish_shallow,misc_flats,nr_sole,octopus,opilio,oth_managed_forage,oth_pelagic_smelt,oth_sculpins,oth_skate,pcod,pollock,rex_sole,sablefish,salmon_returning,sandlance,scyphozoid_jellies,sea_pens,sea_stars,snails,sponges,urchins_dollars_cucs,urochordata,yf_sole
1982,698798.2262,71275.95098,56248.54489,118901.4354,5009.180426,194869.4741,1122403.671,877286.5497,18921.7873,,3111789.155,177540.0603,248876.4128,759331.9286,291.0553171,66699.60304,268403.0347,22133.28493,14218.85407,,168284.465,295095.4744,206464.9193,193887.8857,116447.1853,545763.4277,168726.9405,675845.3744,238036.6743,65008.81441,959716.6301,68135.40741,2520950.87,5429848.133,8348.213701,366208.4817,41781.81346,2643516.118,25683.96151,2184.448046,752763.5375,414548.3481,84488.10896,772520.8243,108039.9892,3348238.679
1983,638727.5772,76098.72637,52775.62825,172449.4285,56347.2181,87495.51014,890611.4889,686783.2297,973.5541305,,2497773.309,172617.2476,293487.742,344878.3535,342.9965532,85286.98721,239173.2754,692789.6319,893.4704133,13891.28028,83232.06512,254488.0855,98101.52978,224882.6522,75745.10769,672678.5536,42262.91361,453943.2445,59716.88818,31038.2563,687800.4381,52647.50036,2667216.921,10788389.75,10139.78086,899253.5558,38276.2726,746687.5061,47476.0671,2953.88682,630960.3537,325254.9336,111919.641,858541.5893,127229.2245,3416856.255
1984,756968.8636,152737.2079,77632.36864,272466.7848,70764.63479,66959.70392,1316103.655,903042.3048,2792.767142,,870334.072,369464.135,315399.1324,249788.7321,72.14808152,101163.2198,553049.5823,151863.584,2131.413295,16458.16847,160404.8464,219985.2676,164163.63,131474.6457,65376.96525,755258.9168,32072.38078,363144.556,78982.23352,14553.24232,662854.9957,7554.588283,2282638.082,8252332.09,18171.59723,480832.7153,65918.55899,1508885.2,68874.42207,9442.351827,626281.7098,512522.7333,39984.21375,575390.5309,177830.6524,3119029.226
1985,571001.7138,134222.5973,38425.32243,279418.7726,13073.81587,29994.50813,904062.3148,565589.6694,3586.914104,23.64875287,396364.5784,48922.14865,320013.4724,140618.9955,97.91346343,78497.19179,214582.4777,474811.2636,475.3426946,25.87124549,38638.15927,169368.9083,79469.18559,94476.49587,45170.90806,656074.7642,33292.97474,183134.009,117281.4694,14023.84278,208250.8097,7117.780877,2470628.693,10423186.35,14962.01264,947254.6891,15546.45827,394685.0611,74883.7321,4984.663839,480211.2382,200443.9852,31164.47119,345931.4526,79673.89435,2378388.223
1986,540900.8539,96556.90611,41824.5644,378401.3556,29399.21437,37686.62958,643017.9649,2267400.611,2399.621619,34.02404287,254176.9346,140655.4456,399737.8875,79255.14373,87.3560144,92531.53549,358068.999,73500.82711,486.5017767,,54676.47979,277542.3242,152415.612,93238.10711,46240.11183,967117.698,6209.55521,236359.9483,30345.00408,,276774.5604,99425.13093,2513240.36,8684249.625,17932.63092,829653.1134,34971.29214,957509.7242,63470.32027,9317.688306,460810.7746,227601.5532,118441.0784,763658.8845,120759.1124,1895161.72
1987,538467.7136,167406.4923,63118.51522,483822.9448,,86557.67449,1515195.661,316043.1947,7705.105476,183.1895932,728804.4294,90990.82819,443616.1762,183806.3205,116.3538219,92264.75451,721010.7589,80229.44246,3647.96373,34.77423588,75501.35637,174355.4924,211300.2307,172094.6467,77663.656,1202184.812,98911.85055,830014.957,57825.60691,1212.894351,298215.8391,112961.8894,2413432.581,10092737.28,17984.86992,139893.957,22218.3743,1268327.013,82353.2806,24173.7134,816389.0212,440992.0184,69358.86582,689717.6081,207802.777,2493249.267
1988,668546.7921,195511.4328,88087.71489,497296.9518,40111.65037,161747.7452,1776865.53,1018595.783,8348.272323,87.19578865,1263344.039,80875.76328,628384.2846,200253.3778,263.6804135,114696.0887,821070.7464,1373469.816,15127.30114,11075.68895,61594.38446,218021.5745,275268.5724,376677.4767,76468.51758,1405515.391,127453.5909,840378.5801,110262.4284,167135.8933,541952.5714,99826.5665,2192886.322,13008239.8,21455.90949,18208.27549,31637.56068,1623656.034,53181.95793,7416.575661,857213.8079,545368.8684,167958.4601,778146.3652,250976.0577,2175328.166
1989,504107.8497,399045.3565,89829.90025,580220.4966,7572.575812,189656.4657,1714396.244,192377.0083,4711.927853,,1677017.286,58633.34545,590955.7697,197063.201,660.3923845,87560.28245,849110.5597,71559.19033,2315.93356,13934.17648,73889.0997,196623.9784,270067.5918,263788.0388,81636.83948,1259139.722,64201.9688,944890.3438,384400.9453,,518328.8806,33329.56066,1954315.244,11795480.47,17953.16387,,,2118702.783,52458.4282,1381.34523,888935.2394,447086.2742,218422.1191,682954.3155,182090.2929,2301876.362
1990,485676.2711,419754.4894,57450.8923,683476.0268,51568.94037,227521.3074,2130064.113,1477175.288,8525.16109,106.2886308,1542355.808,103835.6542,672846.9658,243586.3044,1624.531012,92425.08234,918883.1709,39602.04313,4274.734648,26267.59222,86421.75885,218786.3795,369115.04,435102.6988,88505.25914,1313335.874,149708.5006,1019274.564,531634.5586,29298.38477,610705.9512,602.3242515,1647354.469,13294952.62,16500.97928,15927.16234,,1366118.389,89443.91447,4623.163626,938775.8666,527373.8478,45386.84148,540565.3992,163076.3655,2162533.064
1991,518340.0541,333330.3628,51116.88101,496493.3434,54635.64869,255477.1385,1521725.567,615043.7655,6467.159383,124.5681406,1168353.037,305472.0897,605270.9792,188214.4146,565.8779277,106440.8138,850022.0482,303901.4422,12380.47112,29584.4884,109051.76,252119.1032,332793.4754,562073.2246,109123.3352,1509240.326,103599.5345,1072532.763,523435.9837,253446.5017,516856.0409,48590.82211,1202743.626,9151473.211,22297.01316,17492.18513,78916.96738,1260164.801,159824.0413,7424.478043,1171266.399,396492.2477,27259.05148,564828.8623,164209.0011,2377664.082
