year,bairdi,brittle_stars,eelpouts,hermits,hybrid_chion,king_crabs,misc_crabs,octopus,opilio,sea_stars,snails,urchins_dollars_cucs
1982,194869.4741,1061705.904,2906714.697,268403.0347,13939.91675,167788.7004,206464.9193,163532.4835,553628.9171,749269.0343,405253.4576,771865.1564
1983,87495.51014,890611.4889,2497773.309,239173.2754,893.4704133,83232.06512,98101.52978,42262.91361,453943.2445,630960.3537,325254.9336,858541.5893
1984,66959.70392,1316103.655,870334.072,553049.5823,2131.413295,160404.8464,164163.63,32072.38078,363144.556,626281.7098,512522.7333,575390.5309
1985,29994.50813,827260.6655,345230.3673,209791.4474,467.9650615,38638.15927,79300.40137,33292.97474,145569.6128,474300.6063,187692.6614,345931.4526
1986,37686.62958,643017.9649,254176.9346,358068.999,486.5017767,54676.47979,152415.612,6209.55521,236359.9483,460810.7746,227601.5532,763658.8845
1987,86549.59613,1486896.842,678430.1872,717878.0203,3647.96373,75501.35637,210906.7841,98911.85055,756089.5472,808582.0482,435539.6321,688305.3253
1988,161694.7799,1732293.124,1058097.465,815589.7076,15127.30114,61514.15469,274315.4081,127308.7294,711206.7611,850938.4747,536080.5929,777482.7208
1989,189606.1098,1671621.952,1087470.147,844902.4109,2315.93356,73889.0997,270005.8192,64201.9688,845926.5379,886401.8582,442713.8622,680679.8179
1990,227467.3462,2085025.927,1120738.487,913789.4441,4269.672336,86391.80541,368417.8922,148997.1371,933725.8263,933859.2505,521858.7748,539569.1349
1991,255473.7048,1472163.795,1008528.012,844764.1168,12380.47112,108845.0063,332294.8123,103042.9674,1010005.921,1167917.907,391261.751,563817.3667
1992,193299.8516,1626623.038,918233.1268,692604.7926,7135.736304,59405.39442,310716.7399,68998.8264,624974.8568,974501.0629,381352.6823,427382.3205
1993,110640.742,1457985.229,1330073.3,711472.6629,770.5583833,88097.7909,215696.9506,17474.51953,505820.1369,1042789.399,324019.5179,634141.5918
1994,83382.11084,1533282.061,1219678.863,671154.8513,2230.169926,61945.02665,286050.1233,25719.19709,515328.8074,1014157.324,349367.9053,444178.4254
1995,68384.10999,1566142.099,773196.0467,683982.9945,780.5890794,79048.69852,290488.6441,35859.78844,655634.9515,914993.5335,492901.3831,1032435.311
1996,56561.72611,1584795.046,718963.2161,559766.5102,543.2206028,70661.35208,148981.825,22745.37722,662979.6783,879352.5151,358536.9163,678456.5386
1997,27471.02981,2119726.26,613803.0528,760722.2112,357.0099257,96757.41694,193201.8272,2751.711667,587667.3159,1317073.733,498047.3711,499698.615
1998,28396.73047,2281116.388,896395.2963,602156.127,497.5214097,102254.9277,153808.7909,15823.07407,398572.293,887632.4198,444123.8348,343885.3769
1999,36128.82809,2523540.57,513949.9857,472651.3619,220.38495,85550.4764,119719.8128,10870.62683,162449.4041,640911.3661,316775.552,384320.677
2000,39083.72495,1947050.39,752977.381,630030.7139,262.6535115,65428.31963,136592.9297,26384.60598,274881.1532,713576.0662,375361.1315,598302.8749
2001,56587.52797,2435964.859,938199.8066,509946.0973,1598.351112,74708.77619,116827.6504,69721.76526,276769.6045,820750.9949,405091.5741,637321.9566
2002,50836.95018,2444043.375,645031.618,746076.6498,727.805696,78071.46061,91768.18237,31432.1709,159520.9434,921705.1662,365136.4771,521009.1174
2003,72946.39786,2423314.661,1041931.402,822359.3209,704.0978473,133383.4614,73566.44481,97502.77594,173408.0362,906409.155,491245.8701,625427.4434
2004,66703.10694,2663454.442,1202645.026,733627.236,551.3071917,131296.38,108676.8974,63441.15191,225112.8786,963065.654,338585.1257,633260.1995
2005,117327.4413,2622256.848,1303862.449,723370.4952,448.1435814,113007.3979,158817.4528,125176.4345,350503.8532,1056069.22,444644.9024,1482715.117
2006,169173.3002,2661705.556,1214681.838,582220.5378,559.9154534,93463.85013,295723.0019,23272.16484,290382.3944,1068232.414,359685.219,1513366.818
2007,163898.2039,2448790.268,869726.6127,527475.1702,6089.097854,101651.7406,243289.2029,28012.61628,342036.5733,946803.7306,348157.7662,1658981.302
2008,127638.8687,2519906.202,523448.8217,484384.5844,5129.518558,113314.3952,303896.0939,13586.55977,282762.1051,901646.5412,370465.2014,904459.7079
2009,88281.94076,2500813.229,457461.4152,481444.2222,5272.269351,88102.50576,239365.2965,12960.48795,300064.0001,866871.7762,317973.5909,958304.8561
2010,86880.15569,2958031.083,620455.0344,500418.2277,6877.662171,80141.87228,247493.717,10234.1519,386708.8868,925773.9799,369055.7366,1689785.583
2011,106159.279,3260208.708,893224.1464,531123.4851,11678.86553,70033.6913,217525.3229,37978.70129,486698.4968,1002803.41,379967.9531,1415078.019
2012,130641.7325,3074584.358,584364.8028,604000.8685,21395.9544,73613.82904,379480.9919,33006.29032,425220.5255,999412.5649,428203.1701,2097123.603
